city,lat,lng,country,iso2,admin_name,capital,population,population_proper,elevation
Bhayandar,19.3,72.85,India,IN,Mahārāshtra,,814655.0,814655.0,8
Morādābād,28.8418,78.7568,India,IN,Uttar Pradesh,,787000.0,721139.0,198
Kolhāpur,16.7,74.2333,India,IN,Mahārāshtra,,750000.0,561841.0,553
Thiruvananthapuram,8.5,76.8997,India,IN,Kerala,admin,743691.0,743691.0,13
Sahāranpur,29.964,77.546,India,IN,Uttar Pradesh,,705478.0,705478.0,280
Warangal,17.9756,79.6011,India,IN,Telangana,,704570.0,704570.0,270
Salem,11.65,78.1667,India,IN,Tamil Nādu,,693236.0,693236.0,285
Mālegaon,20.55,74.55,India,IN,Mahārāshtra,,690844.0,435362.0,427
Kochi,9.9667,76.2833,India,IN,Kerala,,677381.0,677381.0,9
Gorakhpur,26.7611,83.3667,India,IN,Uttar Pradesh,,673446.0,673446.0,83
Shimoga,13.9304,75.56,India,IN,Karnātaka,,654055.0,319550.0,585
Tiruppūr,11.1075,77.3398,India,IN,Tamil Nādu,,650000.0,444543.0,307
Guntūr,16.3,80.45,India,IN,Andhra Pradesh,,647508.0,647508.0,33
Raurkela,22.2492,84.8828,India,IN,Odisha,,625831.0,483629.0,215
Mangalore,12.8703,74.8806,India,IN,Karnātaka,,623841.0,623841.0,52
Nānded,19.15,77.3333,India,IN,Mahārāshtra,,623708.0,550564.0,363
Cuttack,20.45,85.8667,India,IN,Odisha,,606007.0,606007.0,26
Chānda,19.95,79.3,India,IN,Mahārāshtra,,595118.0,328351.0,187
Dehra Dūn,30.318,78.029,India,IN,Uttarakhand,admin,578420.0,578420.0,645
Durgāpur,23.55,87.32,India,IN,West Bengal,,566517.0,566517.0,88
Āsansol,23.6833,86.9667,India,IN,West Bengal,,563917.0,563917.0,122
Bhāvnagar,21.765,72.1369,India,IN,Gujarāt,,554978.0,464602.0,31
Amrāvati,20.9333,77.75,India,IN,Mahārāshtra,,549370.0,549370.0,342
Nellore,14.4333,79.9667,India,IN,Andhra Pradesh,,547621.0,547621.0,25
Ajmer,26.468,74.639,India,IN,Rājasthān,,542321.0,542321.0,483
Tinnevelly,8.7289,77.7081,India,IN,Tamil Nādu,,542200.0,435844.0,45
Bīkaner,28.0181,73.3169,India,IN,Rājasthān,,529007.0,529007.0,226
Agartala,23.8333,91.2667,India,IN,Tripura,admin,522613.0,522613.0,18
Ujjain,23.1828,75.7772,India,IN,Madhya Pradesh,,515215.0,515215.0,494
Jhānsi,25.4486,78.5696,India,IN,Uttar Pradesh,,507000.0,507000.0,259
Ulhāsnagar,19.2167,73.15,India,IN,Mahārāshtra,,506098.0,506098.0,10
Davangere,14.4667,75.9167,India,IN,Karnātaka,,503564.0,435125.0,601
Jammu,32.7333,74.85,India,IN,Jammu and Kashmīr,,502197.0,502197.0,321
Belgaum,15.8667,74.5,India,IN,Karnātaka,,488157.0,488157.0,783
Gulbarga,17.3333,76.8333,India,IN,Karnātaka,,483615.0,481478.0,460
Jāmnagar,22.47,70.07,India,IN,Gujarāt,,479920.0,479920.0,21
Dhūlia,20.9,74.7833,India,IN,Mahārāshtra,,479073.0,366980.0,263
Gaya,24.75,85.0167,India,IN,Bihār,,474093.0,474093.0,113
Jalgaon,21.0167,75.5667,India,IN,Mahārāshtra,,460468.0,460468.0,216
Kurnool,15.8222,78.035,India,IN,Andhra Pradesh,,457633.0,457633.0,286
Udaipur,24.5833,73.6833,India,IN,Rājasthān,,451100.0,451100.0,601
Bellary,15.15,76.915,India,IN,Karnātaka,,445388.0,336681.0,471
Sāngli,16.8667,74.5667,India,IN,Mahārāshtra,,436639.0,436639.0,543
Tuticorin,8.7833,78.1333,India,IN,Tamil Nādu,,436094.0,436094.0,6
Calicut,11.25,75.7667,India,IN,Kerala,minor,431560.0,431560.0,0
Akola,20.7333,77.0,India,IN,Mahārāshtra,,425817.0,425817.0,278
Bhāgalpur,25.25,87.0167,India,IN,Bihār,,410210.0,410210.0,47
Sīkar,27.6119,75.1397,India,IN,Rājasthān,,400000.0,237579.0,435
Tumkūr,13.33,77.1,India,IN,Karnātaka,,399606.0,307359.0,816
Quilon,8.8853,76.5864,India,IN,Kerala,,397419.0,397419.0,16
Muzaffarnagar,29.4708,77.7033,India,IN,Uttar Pradesh,,392451.0,392451.0,250
Bhīlwāra,25.35,74.6333,India,IN,Rājasthān,,389911.0,326431.0,424
Nizāmābād,18.6704,78.1,India,IN,Telangana,,388505.0,305438.0,387
Bhātpāra,22.8667,88.4167,India,IN,West Bengal,,386019.0,386019.0,16
Kākināda,16.9333,82.2167,India,IN,Andhra Pradesh,,384182.0,384182.0,3
Parbhani,19.2704,76.76,India,IN,Mahārāshtra,,378326.0,289629.0,424
Pānihāti,22.69,88.37,India,IN,West Bengal,,377347.0,377347.0,9
Lātūr,18.4004,76.57,India,IN,Mahārāshtra,,374394.0,348967.0,630
Rohtak,28.9,76.5667,India,IN,Haryāna,,374292.0,374292.0,220
